Customer_ID,District,Sector,Cell,Customer_Type,Status,Connection_Date,Latitude,Longitude
CUST-000001,Kicukiro,Kigarama,Bwerankori,Residential,Disconnected,2024-07-19,-2.034827,30.108522
CUST-000002,Gasabo,Kimironko,Nyagatovu,Residential,Active,2020-06-17,-1.872762,30.115307
CUST-000003,Kicukiro,Kigarama,Nyarurama,Residential,Transferred,2022-04-30,-1.96597,30.059428
CUST-000004,Gasabo,Remera,Rukiri I,Residential,Active,2023-12-21,-1.822647,30.180464
CUST-000005,Nyarugenge,Muhima,Tetero,Residential,Active,2020-01-22,-1.946755,30.058949
CUST-000006,Kicukiro,Kanombe,Kabeza,Residential,Active,2024-02-28,-2.004751,30.088862
CUST-000007,Kicukiro,Kagarama,Kanserege,Non-Residential,Active,2025-03-06,-1.997915,30.098717
CUST-000008,Kicukiro,Gikondo,Kagunga,Residential,Disconnected,2023-10-20,-1.957963,30.072988
CUST-000009,Gasabo,Gatsata,Nyamabuye,Residential,Active,2025-10-04,-1.848661,30.086538
CUST-000010,Kicukiro,Nyarugunga,Kamashashi,Residential,Suspended,2020-12-07,-1.973859,30.114382
CUST-000011,Gasabo,Rutunga,Kibenga,Residential,Active,2024-09-17,-1.860811,30.14846
CUST-000012,Kicukiro,Nyarugunga,Rwimbogo,Residential,Active,2024-04-08,-1.985576,30.080233
CUST-000013,Gasabo,Rusororo,Kabuga I,Residential,Active,2020-08-19,-1.859074,30.166028
CUST-000014,Kicukiro,Gikondo,Kagunga,Residential,Suspended,2024-07-14,-1.970061,30.085983
CUST-000015,Gasabo,Jali,Nkusi,Residential,Active,2021-05-14,-1.889637,30.159047
CUST-000016,Gasabo,Kacyiru,Kamutwa,Residential,Active,2021-02-20,-1.92446,30.101221
CUST-000017,Gasabo,Nduba,Gatunga,Non-Residential,Active,2025-04-18,-1.921638,30.13496
CUST-000018,Nyarugenge,Nyarugenge,Kiyovu,Residential,Active,2020-11-02,-1.982522,30.042539
CUST-000019,Gasabo,Nduba,Gatunga,Residential,Transferred,2020-01-03,-1.863659,30.140234
CUST-000020,Gasabo,Jali,Nyakabungo,Residential,Disconnected,2025-04-18,-1.882138,30.121903
CUST-000021,Gasabo,Ndera,Kibenga,Residential,Transferred,2025-01-17,-1.930076,30.130236
CUST-000022,Kicukiro,Kagarama,Kanserege,Residential,Active,2020-07-18,-1.96469,30.155659
CUST-000023,Gasabo,Kimironko,Bibare,Residential,Active,2021-12-10,-1.915826,30.122663
CUST-000024,Gasabo,Jali,Nkusi,Residential,Active,2023-06-28,-1.884607,30.134679
CUST-000025,Kicukiro,Kanombe,Rubirizi,Residential,Active,2025-05-18,-1.963471,30.117687
CUST-000026,Nyarugenge,Muhima,Rugenge,Residential,Active,2022-06-09,-1.920313,30.063263
CUST-000027,Gasabo,Kimironko,Bibare,Residential,Active,2025-03-24,-1.834732,30.125718
CUST-000028,Gasabo,Bumbogo,Nkuzuzu,Residential,Active,2020-12-21,-1.909873,30.134996
CUST-000029,Gasabo,Bumbogo,Mvuzo,Non-Residential,Active,2021-05-15,-1.935208,30.12951
CUST-000030,Gasabo,Kinyinya,Murama,Residential,Active,2020-11-17,-1.904686,30.107805
CUST-000031,Nyarugenge,Kigali,Rwesero,Non-Residential,Active,2023-06-07,-1.99954,30.047759
CUST-000032,Nyarugenge,Mageragere,Ntungamo,Residential,Active,2024-08-24,-1.943151,30.017656
CUST-000033,Kicukiro,Masaka,Mbabe,Residential,Active,2022-08-30,-1.970697,30.10153
CUST-000034,Kicukiro,Gikondo,Kanserege,Residential,Active,2022-07-13,-1.977493,30.13387
CUST-000035,Gasabo,Jali,Nkusi,Residential,Active,2023-06-08,-1.879833,30.149781
CUST-000036,Gasabo,Remera,Rukiri II,Residential,Active,2021-01-15,-1.895984,30.101604
CUST-000037,Kicukiro,Gatenga,Karambo,Residential,Active,2023-07-11,-2.003081,30.076118
CUST-000038,Gasabo,Gatsata,Nyamabuye,Residential,Active,2020-06-15,-1.910324,30.140092
CUST-000039,Gasabo,Gatsata,Nyamabuye,Residential,Active,2020-08-24,-1.814735,30.157513
CUST-000040,Gasabo,Jali,Nkusi,Residential,Active,2023-07-01,-1.9121,30.152721
CUST-000041,Gasabo,Kimironko,Kibagabaga,Residential,Active,2021-02-17,-1.884425,30.119291
CUST-000042,Nyarugenge,Gitega,Gacyamo,Residential,Active,2025-11-26,-1.99658,30.08024
CUST-000043,Kicukiro,Masaka,Rusheshe,Residential,Active,2021-03-13,-2.014432,30.137338
CUST-000044,Nyarugenge,Nyakabanda,Munanira I,Residential,Active,2023-01-04,-1.981183,29.974112
CUST-000045,Gasabo,Nduba,Gasura,Residential,Active,2020-03-21,-1.890959,30.081729
CUST-000046,Nyarugenge,Mageragere,Kankuba,Residential,Active,2023-04-17,-1.967454,30.025518
CUST-000047,Kicukiro,Masaka,Cyimo,Residential,Active,2020-02-19,-1.959841,30.116076
CUST-000048,Gasabo,Rusororo,Kabuga II,Residential,Active,2021-01-27,-1.919688,30.147988
CUST-000049,Gasabo,Kacyiru,Kibaza,Residential,Active,2022-05-26,-1.903772,30.102858
CUST-000050,Kicukiro,Gatenga,Gatenga,Residential,Active,2021-08-30,-1.971705,30.10269
CUST-000051,Gasabo,Jali,Agateko,Residential,Active,2025-10-01,-1.92264,30.152849
CUST-000052,Nyarugenge,Nyamirambo,Gasharu,Residential,Active,2025-01-23,-1.993751,30.099133
CUST-000053,Kicukiro,Gahanga,Kagasa,Residential,Active,2020-08-18,-1.950733,30.114215
CUST-000054,Gasabo,Rusororo,Kabuga I,Residential,Active,2021-09-21,-1.887334,30.136477
CUST-000055,Nyarugenge,Nyarugenge,Biryogo,Residential,Active,2020-06-17,-2.0085,30.096867
CUST-000056,Nyarugenge,Kanyinya,Nzove,Residential,Active,2020-08-15,-1.971341,30.03387
CUST-000057,Gasabo,Nduba,Gatunga,Residential,Active,2025-01-15,-1.916981,30.107594
CUST-000058,Kicukiro,Gahanga,Karembure,Residential,Active,2021-04-16,-2.028324,30.063037
CUST-000059,Nyarugenge,Kanyinya,Nyamweru,Residential,Active,2020-01-30,-1.980427,30.030904
CUST-000060,Kicukiro,Kigarama,Karugira,Residential,Active,2021-10-11,-1.989584,30.091926
CUST-000061,Kicukiro,Gatenga,Nyarurama,Residential,Suspended,2025-09-24,-1.948263,30.147764
CUST-000062,Gasabo,Gikomero,Munini,Residential,Active,2021-10-02,-1.90279,30.071452
CUST-000063,Nyarugenge,Gitega,Kinyange,Residential,Active,2020-07-14,-1.9307,30.057291
CUST-000064,Nyarugenge,Muhima,Tetero,Residential,Active,2021-09-15,-2.017856,30.056912
CUST-000065,Nyarugenge,Kigali,Kigali,Residential,Active,2024-09-05,-2.001277,30.099347
CUST-000066,Kicukiro,Kanombe,Kabeza,Residential,Active,2024-07-04,-1.992844,30.128565
CUST-000067,Nyarugenge,Gitega,Gacyamo,Residential,Active,2023-07-25,-1.996594,30.034102
CUST-000068,Gasabo,Rutunga,Kigabiro,Residential,Active,2023-05-15,-1.893617,30.135984
CUST-000069,Gasabo,Rutunga,Kacyatwa,Non-Residential,Active,2024-04-18,-1.890955,30.093633
CUST-000070,Kicukiro,Gatenga,Karambo,Residential,Active,2024-02-03,-1.986486,30.078691
CUST-000071,Nyarugenge,Gitega,Gacyamo,Residential,Disconnected,2022-12-12,-1.970316,30.073545
CUST-000072,Gasabo,Rusororo,Mbandazi,Residential,Active,2021-03-10,-1.829174,30.158672
CUST-000073,Kicukiro,Kicukiro,Ngoma,Residential,Active,2025-10-22,-1.994355,30.073315
CUST-000074,Nyarugenge,Gitega,Akabahizi,Residential,Suspended,2022-06-15,-1.931049,30.060022
CUST-000075,Kicukiro,Gahanga,Nunga,Residential,Active,2022-04-25,-2.007912,30.171348
CUST-000076,Gasabo,Rutunga,Gasabo,Residential,Active,2024-08-25,-1.874483,30.126532
CUST-000077,Gasabo,Jali,Agateko,Residential,Active,2023-10-26,-1.89515,30.168323
CUST-000078,Gasabo,Kimihurura,Kimihurura,Residential,Active,2020-09-28,-1.898491,30.128088
CUST-000079,Nyarugenge,Gitega,Kinyange,Residential,Disconnected,2022-11-09,-1.918391,30.083357
CUST-000080,Gasabo,Nduba,Butare,Residential,Active,2023-07-10,-1.897637,30.129948
CUST-000081,Kicukiro,Gahanga,Nunga,Residential,Active,2025-09-08,-1.974817,30.035777
CUST-000082,Gasabo,Rutunga,Kabaliza,Residential,Active,2024-06-19,-1.846189,30.076437
CUST-000083,Nyarugenge,Gitega,Gacyamo,Residential,Active,2025-02-28,-1.91464,30.015752
CUST-000084,Nyarugenge,Kigali,Nyabugogo,Residential,Active,2021-03-06,-1.90594,30.045535
CUST-000085,Nyarugenge,Gitega,Kigarama,Residential,Active,2024-12-08,-1.934777,30.068573
CUST-000086,Kicukiro,Kicukiro,Gasharu,Residential,Active,2023-11-01,-1.993443,30.091316
CUST-000087,Nyarugenge,Rwezamenyo,Rwezamenyo II,Public Taps,Active,2023-07-01,-2.000981,30.001537
CUST-000088,Gasabo,Rutunga,Kabaliza,Residential,Active,2025-12-14,-1.895298,30.120171
CUST-000089,Gasabo,Nduba,Butare,Non-Residential,Active,2021-01-29,-1.851271,30.093537
CUST-000090,Kicukiro,Kanombe,Kabeza,Residential,Active,2025-07-03,-2.002749,30.11502
CUST-000091,Gasabo,Rutunga,Kibenga,Residential,Active,2021-04-04,-1.864776,30.157467
CUST-000092,Kicukiro,Kigarama,Nyarurama,Residential,Active,2025-09-13,-1.964567,30.099387
