District,Sector,Cell
Nyarugenge,Gitega,Akabahizi
Nyarugenge,Gitega,Akabeza
Nyarugenge,Gitega,Gacyamo
Nyarugenge,Gitega,Kigarama
Nyarugenge,Gitega,Kinyange
Nyarugenge,Gitega,Kora
Nyarugenge,Kanyinya,Nyamweru
Nyarugenge,Kanyinya,Nzove
Nyarugenge,Kanyinya,Taba
Nyarugenge,Kigali,Kigali
Nyarugenge,Kigali,Mwendo
Nyarugenge,Kigali,Nyabugogo
Nyarugenge,Kigali,Ruriba
Nyarugenge,Kigali,Rwesero
Nyarugenge,Kimisagara,Kamuhoza
Nyarugenge,Kimisagara,Katabaro
Nyarugenge,Kimisagara,Kimisagara
Nyarugenge,Mageragere,Kankuba
Nyarugenge,Mageragere,Kavumu
Nyarugenge,Mageragere,Mataba
Nyarugenge,Mageragere,Ntungamo
Nyarugenge,Mageragere,Nyarufunzo
Nyarugenge,Mageragere,Nyarurenzi
Nyarugenge,Mageragere,Runzenze
Nyarugenge,Muhima,Amahoro
Nyarugenge,Muhima,Kabasengerezi
Nyarugenge,Muhima,Kabeza
Nyarugenge,Muhima,Nyabugogo
Nyarugenge,Muhima,Rugenge
Nyarugenge,Muhima,Tetero
Nyarugenge,Muhima,Ubumwe
Nyarugenge,Nyakabanda,Munanira I
Nyarugenge,Nyakabanda,Munanira II
Nyarugenge,Nyakabanda,Nyakabanda I
Nyarugenge,Nyakabanda,Nyakabanda II
Nyarugenge,Nyamirambo,Cyivugiza
Nyarugenge,Nyamirambo,Gasharu
Nyarugenge,Nyamirambo,Mumena
Nyarugenge,Nyamirambo,Rugarama
Nyarugenge,Nyarugenge,Agatare
Nyarugenge,Nyarugenge,Biryogo
Nyarugenge,Nyarugenge,Kiyovu
Nyarugenge,Nyarugenge,Rwampara
Nyarugenge,Rwezamenyo,Kabuguru I
Nyarugenge,Rwezamenyo,Kabuguru II
Nyarugenge,Rwezamenyo,Rwezamenyo I
Nyarugenge,Rwezamenyo,Rwezamenyo II
Gasabo,Bumbogo,Kinyaga
Gasabo,Bumbogo,Musave
Gasabo,Bumbogo,Mvuzo
Gasabo,Bumbogo,Ngara
Gasabo,Bumbogo,Nkuzuzu
Gasabo,Bumbogo,Nyabikenke
Gasabo,Bumbogo,Nyagasozi
Gasabo,Gatsata,Karuruma
Gasabo,Gatsata,Nyamabuye
Gasabo,Gatsata,Nyamugari
Gasabo,Gikomero,Gasagara
Gasabo,Gikomero,Gicaca
Gasabo,Gikomero,Kibara
Gasabo,Gikomero,Munini
Gasabo,Gikomero,Murambi
Gasabo,Gisozi,Musezero
Gasabo,Gisozi,Ruhango
Gasabo,Jabana,Akamatamu
Gasabo,Jabana,Bweramvura
Gasabo,Jabana,Kabuye
Gasabo,Jabana,Kidashya
Gasabo,Jabana,Ngiryi
Gasabo,Jali,Agateko
Gasabo,Jali,Buhiza
Gasabo,Jali,Muko
Gasabo,Jali,Nkusi
Gasabo,Jali,Nyabuliba
Gasabo,Jali,Nyakabungo
Gasabo,Jali,Nyamitanga
Gasabo,Kacyiru,Kamatamu
Gasabo,Kacyiru,Kamutwa
Gasabo,Kacyiru,Kibaza
Gasabo,Kimihurura,Kamukina
Gasabo,Kimihurura,Kimihurura
Gasabo,Kimihurura,Rugando
Gasabo,Kimironko,Bibare
Gasabo,Kimironko,Kibagabaga
Gasabo,Kimironko,Nyagatovu
Gasabo,Kinyinya,Gacuriro
Gasabo,Kinyinya,Gasharu
Gasabo,Kinyinya,Kagugu
Gasabo,Kinyinya,Murama
Gasabo,Ndera,Bwiza
Gasabo,Ndera,Cyaruzinge
Gasabo,Ndera,Kibenga
Gasabo,Ndera,Masoro
Gasabo,Ndera,Mukuyu
Gasabo,Ndera,Rudashya
Gasabo,Nduba,Butare
Gasabo,Nduba,Gasanze
Gasabo,Nduba,Gasura
Gasabo,Nduba,Gatunga
Gasabo,Nduba,Muremure
Gasabo,Nduba,Sha
Gasabo,Nduba,Shango
Gasabo,Remera,Nyabisindu
Gasabo,Remera,Nyarutarama
Gasabo,Remera,Rukiri I
Gasabo,Remera,Rukiri II
Gasabo,Rusororo,Bisenga
Gasabo,Rusororo,Gasagara
Gasabo,Rusororo,Kabuga I
Gasabo,Rusororo,Kabuga II
Gasabo,Rusororo,Kinyana
Gasabo,Rusororo,Mbandazi
Gasabo,Rusororo,Nyagahinga
Gasabo,Rusororo,Ruhanga
Gasabo,Rutunga,Gasabo
Gasabo,Rutunga,Indatemwa
Gasabo,Rutunga,Kabaliza
Gasabo,Rutunga,Kacyatwa
Gasabo,Rutunga,Kibenga
Gasabo,Rutunga,Kigabiro
Kicukiro,Gahanga,Gahanga
Kicukiro,Gahanga,Kagasa
Kicukiro,Gahanga,Karembure
Kicukiro,Gahanga,Murinja
Kicukiro,Gahanga,Nunga
Kicukiro,Gahanga,Rwabutenge
Kicukiro,Gatenga,Gatenga
Kicukiro,Gatenga,Karambo
Kicukiro,Gatenga,Nyanza
Kicukiro,Gatenga,Nyarurama
Kicukiro,Gikondo,Kagunga
Kicukiro,Gikondo,Kanserege
Kicukiro,Gikondo,Kinunga
Kicukiro,Kagarama,Kanserege
Kicukiro,Kagarama,Muyange
Kicukiro,Kagarama,Rukatsa
Kicukiro,Kanombe,Busanza
Kicukiro,Kanombe,Kabeza
Kicukiro,Kanombe,Karama
Kicukiro,Kanombe,Rubirizi
Kicukiro,Kicukiro,Gasharu
Kicukiro,Kicukiro,Kagina
Kicukiro,Kicukiro,Kicukiro
Kicukiro,Kicukiro,Ngoma
Kicukiro,Kigarama,Bwerankori
Kicukiro,Kigarama,Karugira
Kicukiro,Kigarama,Kigarama
Kicukiro,Kigarama,Nyarurama
Kicukiro,Kigarama,Rwampara
Kicukiro,Masaka,Ayabaraya
Kicukiro,Masaka,Cyimo
Kicukiro,Masaka,Gako
Kicukiro,Masaka,Gitaraga
Kicukiro,Masaka,Mbabe
Kicukiro,Masaka,Rusheshe
Kicukiro,Niboye,Gatare
Kicukiro,Niboye,Niboye
Kicukiro,Niboye,Nyakabanda
Kicukiro,Nyarugunga,Kamashashi
Kicukiro,Nyarugunga,Nonko
Kicukiro,Nyarugunga,Rwimbogo
