Customer_ID,Month,Previous_Reading,Current_Reading,Consumption_m3,Amount_Billed_RWF,Amount_Paid_RWF,Outstanding_Balance_RWF,Payment_Status,Meter_Status
CUST-000001,2024-08,927.3,952.8,25.5,15525.0,15525.0,0.0,Paid,Normal
CUST-000001,2024-09,952.8,973.3,20.5,12775.0,12775.0,0.0,Paid,Normal
CUST-000001,2024-10,973.3,992.9,19.6,12280.0,12280.0,0.0,Paid,Normal
CUST-000001,2024-11,992.9,1018.0,25.1,15305.0,15305.0,0.0,Paid,Normal
CUST-000001,2024-12,1018.0,1042.5,24.5,14975.0,14975.0,0.0,Paid,Normal
CUST-000001,2025-01,1042.5,1070.7,28.2,17010.0,17010.0,0.0,Paid,Normal
CUST-000001,2025-02,1070.7,1092.5,21.8,13490.0,13490.0,0.0,Paid,Normal
CUST-000001,2025-03,1092.5,1112.1,19.6,12280.0,12280.0,0.0,Paid,Normal
CUST-000001,2025-04,1112.1,1112.1,0.0,1500.0,15085.0,0.0,Paid,Normal
CUST-000001,2025-05,1136.8,1157.8,21.0,13050.0,9299.0,3751.0,Partial,Normal
CUST-000001,2025-06,1157.8,1184.9,27.1,16405.0,8347.0,8058.0,Partial,Normal
CUST-000001,2025-07,1184.9,1208.3,23.4,14370.0,14370.0,0.0,Paid,Normal
CUST-000001,2025-08,1208.3,1230.6,22.3,13765.0,13765.0,0.0,Paid,Normal
CUST-000001,2025-09,1230.6,1251.8,21.2,13160.0,13160.0,0.0,Paid,Normal
CUST-000001,2025-10,1251.8,1278.6,26.8,16240.0,16240.0,0.0,Paid,Normal
CUST-000001,2025-11,1278.6,1299.6,21.0,13050.0,0.0,13050.0,Unpaid,Normal
CUST-000001,2025-12,1299.6,1325.3,25.7,15635.0,15635.0,0.0,Paid,Normal
CUST-000002,2024-01,2463.9,2498.8,34.9,20695.0,20695.0,0.0,Paid,Normal
CUST-000002,2024-02,2498.8,2538.6,39.8,23390.0,23390.0,0.0,Paid,Normal
CUST-000002,2024-03,2538.6,2565.3,26.7,16185.0,16185.0,0.0,Paid,Normal
CUST-000002,2024-04,2565.3,2594.0,28.7,17285.0,17285.0,0.0,Paid,Normal
CUST-000002,2024-05,2594.0,2619.8,25.8,15690.0,15690.0,0.0,Paid,Normal
CUST-000002,2024-06,2619.8,2652.5,32.7,19485.0,0.0,19485.0,Unpaid,Normal
CUST-000002,2024-07,2652.5,2686.2,33.7,20035.0,0.0,20035.0,Unpaid,Normal
CUST-000002,2024-08,2686.2,2718.8,32.6,19430.0,19430.0,0.0,Paid,Normal
CUST-000002,2024-09,2718.8,2745.3,26.5,16075.0,16075.0,0.0,Paid,Normal
CUST-000002,2024-10,2745.3,2768.3,23.0,14150.0,14150.0,0.0,Paid,Normal
CUST-000002,2024-11,2768.3,2797.1,28.8,17340.0,17340.0,0.0,Paid,Estimated
CUST-000002,2024-12,2797.1,2832.2,35.1,20805.0,0.0,20805.0,Unpaid,Normal
CUST-000002,2025-01,2832.2,2862.7,30.5,18275.0,18275.0,0.0,Paid,Normal
CUST-000002,2025-02,2862.7,2897.2,34.5,20475.0,20475.0,0.0,Paid,Normal
CUST-000002,2025-03,2897.2,2929.8,32.6,19430.0,19430.0,0.0,Paid,Normal
CUST-000002,2025-04,2929.8,2956.6,26.8,16240.0,16240.0,0.0,Paid,Normal
CUST-000002,2025-05,2956.6,2993.3,36.7,21685.0,21685.0,0.0,Paid,Normal
CUST-000002,2025-06,2993.3,3024.8,31.5,18825.0,18825.0,0.0,Paid,Normal
CUST-000002,2025-07,3024.8,3053.6,28.8,17340.0,17340.0,0.0,Paid,Normal
CUST-000002,2025-08,3053.6,3086.0,32.4,19320.0,19320.0,0.0,Paid,Normal
CUST-000002,2025-09,3086.0,3118.8,32.8,19540.0,19540.0,0.0,Paid,Normal
CUST-000002,2025-10,3118.8,3147.9,29.1,17505.0,17505.0,0.0,Paid,Normal
CUST-000002,2025-11,3147.9,3172.5,24.6,15030.0,15030.0,0.0,Paid,Normal
CUST-000002,2025-12,3172.5,3204.9,32.4,19320.0,19320.0,0.0,Paid,Normal
CUST-000003,2024-01,660.0,684.2,24.2,14810.0,8737.0,6073.0,Partial,Normal
CUST-000003,2024-02,684.2,703.5,19.3,12115.0,10225.0,1890.0,Partial,Normal
CUST-000003,2024-03,703.5,723.7,20.2,12610.0,12610.0,0.0,Paid,Normal
CUST-000003,2024-04,723.7,739.9,16.2,10410.0,10410.0,0.0,Paid,Faulty
CUST-000003,2024-05,739.9,758.4,18.5,11675.0,5419.0,6256.0,Partial,Normal
CUST-000003,2024-06,758.4,780.6,22.2,13710.0,13710.0,0.0,Paid,Normal
CUST-000003,2024-07,780.6,806.4,25.8,15690.0,15690.0,0.0,Paid,Normal
CUST-000003,2024-08,806.4,827.3,20.9,12995.0,0.0,12995.0,Unpaid,Normal
CUST-000003,2024-09,827.3,849.2,21.9,13545.0,7268.0,6277.0,Partial,Normal
CUST-000003,2024-10,849.2,868.7,19.5,12225.0,12225.0,0.0,Paid,Normal
CUST-000003,2024-11,868.7,889.5,20.8,12940.0,12940.0,0.0,Paid,Normal
CUST-000003,2024-12,889.5,913.9,24.4,14920.0,14920.0,0.0,Paid,Normal
CUST-000003,2025-01,913.9,937.6,23.7,14535.0,14535.0,0.0,Paid,Normal
CUST-000003,2025-02,937.6,962.2,24.6,15030.0,6685.0,8345.0,Partial,Normal
CUST-000003,2025-03,962.2,983.3,21.1,13105.0,13105.0,0.0,Paid,Normal
CUST-000003,2025-04,983.3,1000.9,17.6,11180.0,11180.0,0.0,Paid,Normal
CUST-000003,2025-05,1000.9,1013.7,12.8,8540.0,8540.0,0.0,Paid,Normal
CUST-000003,2025-06,1013.7,1036.9,23.2,14260.0,14260.0,0.0,Paid,Normal
CUST-000003,2025-07,1036.9,1056.9,20.0,12500.0,0.0,12500.0,Unpaid,Normal
CUST-000003,2025-08,1056.9,1076.6,19.7,12335.0,12335.0,0.0,Paid,Normal
CUST-000003,2025-09,1076.6,1096.0,19.4,12170.0,6529.0,5641.0,Partial,Normal
CUST-000003,2025-10,1096.0,1114.6,18.6,11730.0,11730.0,0.0,Paid,Normal
CUST-000003,2025-11,1114.6,1133.7,19.1,12005.0,9655.0,2350.0,Partial,Normal
CUST-000003,2025-12,1133.7,1158.5,24.8,15140.0,9204.0,5936.0,Partial,Normal
CUST-000004,2024-01,4608.0,4631.9,23.9,14645.0,11543.0,3102.0,Partial,Normal
CUST-000004,2024-02,4631.9,4647.1,15.2,9860.0,9860.0,0.0,Paid,Normal
CUST-000004,2024-03,4647.1,4666.4,19.3,12115.0,12115.0,0.0,Paid,Normal
CUST-000004,2024-04,4666.4,4683.0,16.6,10630.0,10630.0,0.0,Paid,Normal
CUST-000004,2024-05,4683.0,4701.7,18.7,11785.0,11785.0,0.0,Paid,Normal
CUST-000004,2024-06,4701.7,4726.7,25.0,15250.0,15250.0,0.0,Paid,Normal
CUST-000004,2024-07,4726.7,4749.7,23.0,14150.0,14150.0,0.0,Paid,Normal
CUST-000004,2024-08,4749.7,4774.0,24.3,14865.0,14865.0,0.0,Paid,Normal
CUST-000004,2024-09,4774.0,4790.7,16.7,10685.0,10685.0,0.0,Paid,Normal
CUST-000004,2024-10,4790.7,4808.9,18.2,11510.0,11510.0,0.0,Paid,Normal
CUST-000004,2024-11,4808.9,4829.8,20.9,12995.0,12995.0,0.0,Paid,Normal
CUST-000004,2024-12,4829.8,4850.5,20.7,12885.0,12885.0,0.0,Paid,Normal
CUST-000004,2025-01,4850.5,4871.9,21.4,13270.0,0.0,13270.0,Unpaid,Normal
CUST-000004,2025-02,4871.9,4900.5,28.6,17230.0,17230.0,0.0,Paid,Normal
CUST-000004,2025-03,4900.5,4920.6,20.1,12555.0,12555.0,0.0,Paid,Normal
CUST-000004,2025-04,4920.6,4935.6,15.0,9750.0,0.0,9750.0,Unpaid,Normal
CUST-000004,2025-05,4935.6,4956.3,20.7,12885.0,10373.0,2512.0,Partial,Estimated
CUST-000004,2025-06,4956.3,4976.7,20.4,12720.0,10488.0,2232.0,Partial,Normal
CUST-000004,2025-07,4976.7,5000.6,23.9,14645.0,14645.0,0.0,Paid,Normal
CUST-000004,2025-08,5000.6,5024.8,24.2,14810.0,14810.0,0.0,Paid,Normal
CUST-000004,2025-09,5024.8,5043.9,19.1,12005.0,12005.0,0.0,Paid,Normal
CUST-000004,2025-10,5043.9,5060.4,16.5,10575.0,10575.0,0.0,Paid,Normal
CUST-000004,2025-11,5060.4,5076.7,16.3,10465.0,10465.0,0.0,Paid,Estimated
CUST-000004,2025-12,5076.7,5097.0,20.3,12665.0,6746.0,5919.0,Partial,Normal
CUST-000005,2024-01,1910.8,1946.2,35.4,20970.0,10925.0,10045.0,Partial,Normal
CUST-000005,2024-02,1946.2,1979.9,33.7,20035.0,6243.0,13792.0,Partial,Normal
CUST-000005,2024-03,1979.9,2006.0,26.1,15855.0,15855.0,0.0,Paid,Faulty
CUST-000005,2024-04,2006.0,2036.9,30.9,18495.0,0.0,18495.0,Unpaid,Normal
CUST-000005,2024-05,2036.9,2067.0,30.1,18055.0,18055.0,0.0,Paid,Normal
CUST-000005,2024-06,2067.0,2104.8,37.8,22290.0,22290.0,0.0,Paid,Normal
CUST-000005,2024-07,2104.8,2144.8,40.0,23500.0,23500.0,0.0,Paid,Normal
CUST-000005,2024-08,2144.8,2183.7,38.9,22895.0,22895.0,0.0,Paid,Normal
CUST-000005,2024-09,2183.7,2215.0,31.3,18715.0,18715.0,0.0,Paid,Normal
CUST-000005,2024-10,2215.0,2247.6,32.6,19430.0,0.0,19430.0,Unpaid,Normal
CUST-000005,2024-11,2247.6,2276.0,28.4,17120.0,17120.0,0.0,Paid,Normal
CUST-000005,2024-12,2276.0,2307.5,31.5,18825.0,18825.0,0.0,Paid,Normal
CUST-000005,2025-01,2307.5,2342.3,34.8,20640.0,20640.0,0.0,Paid,Normal
CUST-000005,2025-02,2342.3,2379.5,37.2,21960.0,21960.0,0.0,Paid,Normal
CUST-000005,2025-03,2379.5,2405.9,26.4,16020.0,16020.0,0.0,Paid,Normal
CUST-000005,2025-04,2405.9,2430.0,24.1,14755.0,14755.0,0.0,Paid,Normal
CUST-000005,2025-05,2430.0,2460.0,30.0,18000.0,0.0,18000.0,Unpaid,Normal
CUST-000005,2025-06,2460.0,2494.1,34.1,20255.0,20255.0,0.0,Paid,Normal
CUST-000005,2025-07,2494.1,2521.8,27.7,16735.0,16735.0,0.0,Paid,Estimated
CUST-000005,2025-08,2521.8,2557.3,35.5,21025.0,21025.0,0.0,Paid,Normal
CUST-000005,2025-09,2557.3,2588.9,31.6,18880.0,18880.0,0.0,Paid,Normal
CUST-000005,2025-10,2588.9,2616.7,27.8,16790.0,16790.0,0.0,Paid,Normal
CUST-000005,2025-11,2616.7,2645.5,28.8,17340.0,17340.0,0.0,Paid,Normal
CUST-000005,2025-12,2645.5,2677.5,32.0,19100.0,19100.0,0.0,Paid,Normal
CUST-000006,2024-03,491.6,508.7,17.1,10905.0,10905.0,0.0,Paid,Normal
CUST-000006,2024-04,508.7,524.4,15.7,10135.0,10135.0,0.0,Paid,Normal
CUST-000006,2024-05,524.4,535.1,10.7,7385.0,2803.0,4582.0,Partial,Normal
CUST-000006,2024-06,535.1,556.4,21.3,13215.0,0.0,13215.0,Unpaid,Normal
CUST-000006,2024-07,556.4,576.6,20.2,12610.0,12610.0,0.0,Paid,Normal
CUST-000006,2024-08,576.6,595.9,19.3,12115.0,10000.0,2115.0,Partial,Normal
CUST-000006,2024-09,595.9,610.7,14.8,9640.0,9640.0,0.0,Paid,Normal
CUST-000006,2024-10,610.7,625.4,14.7,9585.0,3783.0,5802.0,Partial,Normal
CUST-000006,2024-11,625.4,639.6,14.2,9310.0,9310.0,0.0,Paid,Normal
CUST-000006,2024-12,639.6,653.0,13.4,8870.0,8870.0,0.0,Paid,Normal
CUST-000006,2025-01,653.0,672.6,19.6,12280.0,12280.0,0.0,Paid,Normal
CUST-000006,2025-02,672.6,690.4,17.8,11290.0,11290.0,0.0,Paid,Normal
CUST-000006,2025-03,690.4,707.9,17.5,11125.0,4114.0,7011.0,Partial,Normal
